team_id,owner,team_name
1,Carey,RAAANDYMARSH 
2,Mike,StrippieHippies 
3,Josh,DonaldTrump'sLeftnut 
4,Justin,Favre'sFlipFlops 
5,Som,IGotWoodson 
6,Sean,CharlieWork 
7,Roger,WhatInTarnation? 
8,Ryan,FullDadMode 
9,Steve,"NoWhammies,Stop "
10,MattOx,TheGrackles 
11,MattOrt,GeorgiaMadVillain 
12,Drew,DameJudyDench 
13,Sarah,BIGMISTAKE 
14,Tyler,Mr.McGibblets 
