id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,120.4,91.1,81.5,101.4,77.9,62.1,92.6,123.2,84.8,119.5,54.6,73,70.5,103.5,125.2,60.3
12,135,107.5,168.8,99.6,74.5,71.1,150.1,76.7,107.9,180.3,126.5,111.2,132.8,101.1,97.2,129.2
3,85.7,116.5,86.1,118.3,130.1,114.7,78.6,113.8,95,123.8,103.2,105.5,131.3,75.6,146.6,72.7
5,121,117.3,114.1,100.3,140.8,94,104.3,111.6,104.9,147.6,100.3,146.1,108.5,135.9,159,99.1
14,112.2,101,130.6,102.4,105.6,76.6,118.1,103.1,131.6,104.2,107.5,110.3,147.6,107,108.4,105.3
6,156.5,111.8,117.6,107.1,91.4,115.8,119.3,86,140.2,110,94.5,93.3,99.8,86,126,133.4
11,118.8,105.2,121.2,114.8,123.7,103.2,154.5,123,142.9,118.9,123.4,143.8,129.3,116.1,96.6,134
2,138.3,150.5,118.3,78.4,78.8,156.1,123.6,124.3,96.9,81.4,91.6,91.4,63.6,100.9,132.1,117.1
8,105.2,164.9,79.8,124.5,129.3,125.4,86.6,99.2,99.1,115.9,105.9,92.1,79.5,55.1,64.7,142
4,102.6,108.4,132.3,120.9,139.3,107.6,104.6,144.6,153.4,151.6,119,115.3,93,142.9,108.4,156.8
7,94.4,100.3,107.5,124.9,109.6,90.2,127.9,98.1,87.6,92.1,85.4,143,91.5,104.3,83.8,117.4
9,147.9,122,106.7,117.5,139.5,96.3,145.2,108.7,122.6,94.6,97.3,123.4,114.4,120.3,82.3,96.6
10,164.5,140.8,144.1,118.4,127.1,160.8,125.1,95.4,122.2,91.1,154.4,109.9,135.3,96.2,100.8,120.6
13,120.2,91.3,68.1,117.8,150.1,104.9,68.1,125.4,90.6,97,90.9,102.8,135.3,88.5,124.3,150.3
